0.01	0.61165
1	0.65709
2	0.70599
3	0.75808
4	0.81355
5	0.87258
6	0.93536
7	1.00210
8	1.07300
9	1.14830
10	1.22820
11	1.31300
12	1.40280
13	1.49810
14	1.59900
15	1.70580
16	1.81880
17	1.93840
18	2.06470
19	2.19830
20	2.33930
21	2.48820
22	2.64530
23	2.81110
24	2.98580
25	3.16990
26	3.36390
27	3.56810
28	3.78310
29	4.00920
30	4.24700
31	4.49690
32	4.75960
33	5.03540
34	5.32510
35	5.62900
36	5.94790
37	6.28230
38	6.63280
39	7.00020
40	7.38490
41	7.78780
42	8.20960
43	8.65080
44	9.11240
45	9.59500
46	10.09900
47	10.62700
48	11.17700
49	11.75200
50	12.35200
