0.01,0.61165
1.00,0.65709
2.00,0.70599
3.00,0.75808
4.00,0.81355
5.00,0.87258
6.00,0.93536
7.00,1.00210
8.00,1.07300
9.00,1.14830
10.00,1.22820
11.00,1.31300
12.00,1.40280
13.00,1.49810
14.00,1.59900
15.00,1.70580
16.00,1.81880
17.00,1.93840
18.00,2.06470
19.00,2.19830
20.00,2.33930
21.00,2.48820
22.00,2.64530
23.00,2.81110
24.00,2.98580
25.00,3.16990
26.00,3.36390
27.00,3.56810
28.00,3.78310
29.00,4.00920
30.00,4.24700
31.00,4.49690
32.00,4.75960
33.00,5.03540
34.00,5.32510
35.00,5.62900
36.00,5.94790
37.00,6.28230
38.00,6.63280
39.00,7.00020
40.00,7.38490
41.00,7.78780
42.00,8.20960
43.00,8.65080
44.00,9.11240
45.00,9.59500
46.00,10.09900
47.00,10.62700
48.00,11.17700
49.00,11.75200
50.00,12.35200
